,Furnishing,Tenant Preferred,Car Parking,Availability,Carpet Area,Floor,facing,overlooking,Bathroom,Balcony,Super Area,Ownership,Owner Resides,Dimensions,Property_Type,Project_name,Price
0,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1050 sqft,1 out of 3,East,"Garden/Park, Main Road",3,1,,,,,"3 BHK Flat  for Rent in Hoskote, Bangalore",Confident Centaurus,"₹11,000"
1,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1500 sqft,25 out of 28,North - East,"Garden/Park, Pool",2,2,,,,,"3 BHK Flat  for Rent in Sena Vihar, Kammanahalli, Bangalore",Prestige North Point,"₹76,000"
2,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1450 sqft,Ground out of 19,North - East,Garden/Park,3,1,,,,,"3 BHK Flat  for Rent in Jakkur, Bangalore",Sobha HRC Pristine,"₹54,000"
3,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1377 sqft,6 out of 14,West,Main Road,3,2,,,,,"3 BHK Flat  for Rent in Hebbal, Bangalore",L and T Raintree Boulevard,"₹65,000"
4,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1100 sqft,12 out of 13,North,Garden/Park,2,1,,,,,"2 BHK Flat  for Rent in Tumkur Road, Bangalore",-,"₹14,000"
5,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1500 sqft,25 out of 28,North - East,"Garden/Park, Pool",3,2,,,,,"3 BHK Flat  for Rent in Sena Vihar, Kammanahalli, Bangalore",Prestige North Point,"₹75,000"
6,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,3 out of 4,East,Main Road,3,2,,,,,"3 BHK Flat  for Rent in Benson Town, Bangalore",-,"₹65,000"
7,Semi-Furnished,Bachelors,2 Covered,Immediately,,19 out of 19,East,"Garden/Park, Pool",3,2,2650 sqft,,,,"3 BHK Flat  for Rent in Hennur, Hennur Bagalur Road, Bangalore",Purva Palm Beach,"₹65,000"
8,Furnished,Bachelors,,Immediately,1687 sqft,14 out of 19,East,"Garden/Park, Pool, Main Road",3,1,,,,,"3 BHK Flat  for Rent in Hosakerehalli, Bangalore",-,"₹85,000"
9,Semi-Furnished,Bachelors,,Immediately,1000 sqft,1 out of 10,East,Garden/Park,2,2,,Freehold,,,3 BHK Flat  for Rent in  Bangalore,-,"₹30,000"
10,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,3200 sqft,10 out of 21,North - East,"Garden/Park, Pool, Main Road",4,2,,,,,"3 BHK Flat  for Rent in Hebbal, Bangalore",Embassy Lake Terraces,₹1.7 Lac 
11,Semi-Furnished,Bachelors/Family,,Immediately,3000 sqft,,East,"Garden/Park, Main Road, Pool",4,2,,,,,3 BHK Villa for Rent in Jakkur,Sobha Emerald Phase II,"₹65,000"
12,Furnished,Bachelors/Family,,Immediately,1100 sqft,Ground out of 1,,,1,,,,,,3 BHK  House for Rent in Padmanabha Nagar,-,"₹30,000"
13,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,4 out of 4,North,Garden/Park,3,1,1740 sqft,,,,"3 BHK Flat  for Rent in Ecc Road, Whitefield, Bangalore",Prestige Palms,"₹45,000"
14,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,2050 sqft,21 out of 23,East,"Garden/Park, Pool, Main Road",3,2,,,,,"3 BHK Flat  for Rent in Malleshwaram, Bangalore",Sattva Luxuria,"₹80,000"
15,Semi-Furnished,Family,1 Covered,Immediately,,8 out of 11,East,Garden/Park,3,3,1915 sqft,,,,"3 BHK Flat  for Rent in Bannerghatta Main Road, Bangalore",Mantri Elite,"₹48,000"
16,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,2150 sqft,16 out of 18,East,"Garden/Park, Main Road",3,3,,,,,"3 BHK Flat  for Rent in Malleshwaram, Bangalore",-,"₹60,000"
17,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1550 sqft,5 out of 13,East,Garden/Park,3,2,,,,,"3 BHK Flat  for Rent in Yelenahalli, Bangalore",SNN Raj Serenity,"₹40,000"
18,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1285 sqft,3 out of 5,North,"Garden/Park, Pool, Main Road",2,2,,,,,"2 BHK Flat  for Rent in Dodda Nekkundi Extension, Kartik Nagar, Outer Ring Road, Bangalore",NCGRS VRR Heritage   ,"₹30,000"
19,Semi-Furnished,Bachelors,,Immediately,1800 sqft,2 out of 4,East,"Garden/Park, Pool",4,2,,,,,"3 BHK Flat  for Rent in Yelahanka, Bangalore",Prestige Garden Bay,"₹35,000"
20,Unfurnished,Family,2 Covered,Immediately,1450 sqft,,East,"Pool, Main Road",3,3,,Freehold,,,"3 BHK Flat  for Rent in Mahadevapura, Bangalore",Brigade Metropolis,"₹65,000"
21,Semi-Furnished,Bachelors,,Immediately,,5 out of 33,East,Garden/Park,3,1,1700 sqft,Freehold,,,"3 BHK Flat  for Rent in Thanisandra, Bangalore",Bhartiya City Nikoo Homes,"₹42,000"
22,Unfurnished,Family,1 Covered,Immediately,1583 sqft,10 out of 32,East,"Garden/Park, Pool, Main Road",3,1,,,,,"3 BHK Flat  for Rent in Konanakunte, Bangalore",-,"₹45,000"
23,Semi-Furnished,Bachelors,1 Covered,Immediately,,8 out of 28,,Pool,2,1,1216 sqft,Freehold,,,"2 BHK Flat  for Rent in whitefield, Bangalore",Prestige Lakeside Habitat,"₹48,000"
24,Semi-Furnished,Family,1 Covered,Immediately,1050 sqft,14 out of 32,East,Garden/Park,2,2,,,,,"2 BHK Flat  for Rent in Konanakunte, Bangalore",Prestige Falcon City,"₹42,000"
25,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,840 sqft,1 out of 4,North - West,,2,1,,,,,"2 BHK Flat  for Rent in Banaswadi, Bangalore",Oracle Residency,"₹20,000"
26,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1000 sqft,Ground out of 1,East,,2,,,,,,"2 BHK  House for Rent in Doddathoguru, Electronic City",-,"₹20,000"
27,Semi-Furnished,Bachelors,,Immediately,1300 sqft,4 out of 4,East,"Garden/Park, Main Road",2,1,,,,,"2 BHK Flat  for Rent in Hsr Layout Sector 5, HSR Layout, Bangalore",-,"₹37,000"
28,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,5 out of 20,West,Garden/Park,4,1,,,,,"3 BHK Flat  for Rent in Vajarahalli, Vajarahalli, Bangalore",Sobha Forest View,"₹25,000"
29,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,1900 sqft,15 out of 34,East,"Garden/Park, Pool",4,1,,,,,"3 BHK Flat  for Rent in Hebbal, Bangalore",Karle Zenith,"₹55,000"
30,Semi-Furnished,Bachelors,1 Covered,Immediately,1342 sqft,17 out of 19,North - East,Garden/Park,2,1,,,,,3 BHK Apartment for Rent in Electronic City,Prestige Sunrise Park Brichwood,"₹33,000"
31,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,14 out of 19,East,"Garden/Park, Pool, Main Road",3,2,,,,,"3 BHK Apartment for Rent in Ambalipura, Haralur",Puravankara Purva Skydale,"₹45,000"
32,Unfurnished,Bachelors/Family,,Immediately,1250 sqft,2 out of 3,East,"Garden/Park, Main Road",2,2,,Freehold,,,"2 BHK Builder Floor for Rent in Jaya Nagar Block 4, Jayanagar",-,"₹30,000"
33,Furnished,Bachelors/Family,2 Covered,Immediately,1800 sqft,30 out of 32,East,Garden/Park,3,2,,,,,"3 BHK Apartment for Rent in Ecc Road, Whitefield",Prestige Park View,"₹75,000"
34,Semi-Furnished,Bachelors,,Immediately,,2 out of 4,North,Main Road,3,2,2200 sqft,Freehold,,,"3 BHK Apartment for Rent in Jaya Nagar Block 4, Jayanagar",-,"₹55,000"
35,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1400 sqft,1 out of 3,South,"Garden/Park, Main Road",2,3,,,,,3 BHK Apartment for Rent in Malleshwaram,Renaissance Park I,"₹45,000"
36,Unfurnished,Bachelors/Family,,Immediately,,14 out of 25,North,"Garden/Park, Pool, Main Road",4,6,2800 sqft,Freehold,,,3 BHK Apartment for Rent in Hebbal,-,"₹55,000"
37,Semi-Furnished,Bachelors/Family,"2 Covered,",Immediately,,3 out of 4,South,Garden/Park,3,3,2630 sqft,,,,3 BHK Apartment for Rent in Halasuru,-,₹1.2 Lac 
38,Unfurnished,Bachelors/Family,,From Mar '23,,Ground out of 4,East,Main Road,2,2,1210 sqft,Freehold,,,2 BHK Apartment for Rent in Mahadevapura,Jayani Paradise,"₹35,000"
